fen,score_cp
"r1b1k1nr/ppqp3p/2p3pb/n3pp2/1PP4Q/P3P3/1B1PNPPP/3K1BNR b kq - 5 14",530
"r1b1k1nr/ppqp3p/2p3p1/n3ppb1/1PP4Q/P3P3/1B1PNPPP/3K1BNR w kq - 6 15",-585
"r1b1k1nr/ppqp3p/2p3p1/n3ppQ1/1PP5/P3P3/1B1PNPPP/3K1BNR b kq - 0 15",576
"r1b1k1nr/ppqp3p/2p3p1/4ppQ1/1Pn5/P3P3/1B1PNPPP/3K1BNR w kq - 0 16",-309
"r1b1k1nr/ppqp3p/2p3p1/4ppQ1/1Pn5/P3P3/3PNPPP/B2K1BNR b kq - 1 16",496
"r1b1k1nr/ppq4p/2p3p1/3pppQ1/1Pn5/P3P3/3PNPPP/B2K1BNR w kq - 0 17",-158
"r1b1k1nr/ppq4p/2p3p1/3pppQ1/1Pn5/P3PN2/3PNPPP/B2K1B1R b kq - 1 17",158
"r1b1k1nr/pp2q2p/2p3p1/3pppQ1/1Pn5/P3PN2/3PNPPP/B2K1B1R w kq - 2 18",-147
"r1b1k1nr/pp2Q2p/2p3p1/3ppp2/1Pn5/P3PN2/3PNPPP/B2K1B1R b kq - 0 18",154
"r1b3nr/pp2k2p/2p3p1/3ppp2/1Pn5/P3PN2/3PNPPP/B2K1B1R w - - 0 19",-204
"r1b3nr/pp2k2p/2p3p1/3pNp2/1Pn5/P3P3/3PNPPP/B2K1B1R b - - 0 19",164
"r1b3nr/pp2k2p/2p3p1/3pnp2/1P6/P3P3/3PNPPP/B2K1B1R w - - 0 20",-133
"r1b3nr/pp2k2p/2p3p1/3pnp2/1P6/P3P3/2KPNPPP/B4B1R b - - 1 20",475
"r1b3nr/pp5p/2pk2p1/3pnp2/1P6/P3P3/2KPNPPP/B4B1R w - - 2 21",324
"r1b3nr/pp5p/2pk2p1/3pBp2/1P6/P3P3/2KPNPPP/5B1R b - - 0 21",475
"r1b3nr/pp5p/2p3p1/3pkp2/1P6/P3P3/2KPNPPP/5B1R w - - 0 22",-442
"r1b3nr/pp5p/2p3p1/3pkp2/1P1N4/P3P3/2KP1PPP/5B1R b - - 1 22",454
"r1b3nr/pp5p/2pk2p1/3p1p2/1P1N4/P3P3/2KP1PPP/5B1R w - - 2 23",-442
"r1b3nr/pp5p/2pk2p1/3p1p2/1P1N3P/P3P3/2KP1PP1/5B1R b - - 0 23",526
"r5nr/pp5p/2pkb1p1/3p1p2/1P1N3P/P3P3/2KP1PP1/5B1R w - - 1 24",-494
"r5nr/pp5p/2pkb1p1/3p1p1P/1P1N4/P3P3/2KP1PP1/5B1R b - - 0 24",522
"r6r/pp5p/2pkbnp1/3p1p1P/1P1N4/P3P3/2KP1PP1/5B1R w - - 1 25",-484
"r6r/pp5p/2pkbnp1/3p1p1P/1P1N4/P3P3/2KPBPP1/7R b - - 2 25",527
"r6r/pp5p/2pkb1p1/3p1p1P/1P1Nn3/P3P3/2KPBPP1/7R w - - 3 26",-296
"r6r/pp5p/2pkb1p1/3p1p1P/1P1Nn3/P3PP2/2KPB1P1/7R b - - 0 26",840
"r6r/pp5p/2pkb1p1/3p1p1P/1P1N4/P3PP2/2KPBnP1/7R w - - 1 27",-244
"r6r/pp5p/2pkb1p1/3p1p1P/1P1N4/P3PP2/2KPBnP1/5R2 b - - 2 27",256
"r6r/pp5p/2pkb1p1/3p1p1P/1P1Nn3/P3PP2/2KPB1P1/5R2 w - - 3 28",10
"r6r/pp5p/2pkb1p1/3p1p1P/1P1N4/P3PPn1/2KPB1P1/7R w - - 5 29",-575
"r6r/pp5p/2pkb1p1/3p1p1P/1P1N3R/P3PPn1/2KPB1P1/8 b - - 6 29",575
"r6r/pp5p/2pkb3/3p1p1p/1P1N3R/P3PPn1/2KPB1P1/8 w - - 0 30",-476
"r6r/pp5p/2pkb3/3p1p1p/1P1N3R/P2BPPn1/2KP2P1/8 b - - 1 30",519
"4r2r/pp5p/2pkb3/3p1p1p/1P1N3R/P2BPPn1/2KP2P1/8 w - - 2 31",-493
"4r2r/pp5p/2pkb3/3p1p1p/1P1N3R/P1KBPPn1/3P2P1/8 b - - 3 31",521
"4r1r1/pp5p/2pkb3/3p1p1p/1P1N3R/P1KBPPn1/3P2P1/8 w - - 4 32",-482
"4r1r1/pp5p/2pkb3/3p1p1p/1P1N4/P1KBPPn1/3P2PR/8 b - - 5 32",539
"4r1r1/1p5p/p1pkb3/3p1p1p/1P1N4/P1KBPPn1/3P2PR/8 w - - 0 33",-488
"4r1r1/1p5p/p1pkb3/3p1p1p/1P1N1P2/P1KBP1n1/3P2PR/8 b - - 0 33",551
"6r1/1p2r2p/p1pkb3/3p1p1p/1P1N1P2/P1KBP1n1/3P2PR/8 w - - 1 34",-493
"6r1/1p2r2p/p1pkb3/3p1p1p/PP1N1P2/2KBP1n1/3P2PR/8 b - - 0 34",547
"6r1/1p2r2p/p1pkb3/3p1p1p/PP1NnP2/2KBP3/3P2PR/8 w - - 1 35",-547
"6r1/1p2r2p/p1pkb3/3p1p1p/PP1NBP2/2K1P3/3P2PR/8 b - - 0 35",547
"6r1/1p2r2p/p1pkb3/5p1p/PP1NpP2/2K1P3/3P2PR/8 w - - 0 36",-540
"6r1/1p2r2p/p1pkb3/5p1R/PP1NpP2/2K1P3/3P2P1/8 b - - 0 36",494
"2b3r1/1p2r2p/p1pk4/5p1R/PP1NpP2/2K1P3/3P2P1/8 w - - 1 37",-412
"2b3r1/1p2r2p/p1pk4/5R2/PP1NpP2/2K1P3/3P2P1/8 b - - 0 37",430
"2b5/1p2r2p/p1pk4/5R2/PP1NpP2/2K1P3/3P2r1/8 w - - 0 38",-368
"2b5/1p2r2p/p1pk4/5R2/PP1NpP2/2KPP3/6r1/8 b - - 0 38",554
"2b5/1p2r2p/p1pk4/5R2/PP1NpP2/2KPP1r1/8/8 w - - 1 39",-392
"2b2R2/1p2r2p/p1pk4/8/PP1NpP2/2KPP1r1/8/8 b - - 2 39",542
"2b2R2/1p2r2p/p1pk4/8/PP1NpP2/2KPr3/8/8 w - - 0 40",-622
"2R5/1p2r2p/p1pk4/8/PP1NpP2/2KPr3/8/8 b - - 0 40",471
"2R5/1p2r2p/p1pk4/8/PP1N1P2/2Kpr3/8/8 w - - 0 41",20
"2R5/1p2r2p/p1pk4/5N2/PP3P2/2Kpr3/8/8 b - - 1 41",-20
"2R5/1p1kr2p/p1p5/5N2/PP3P2/2Kpr3/8/8 w - - 2 42",-33
"1R6/1p1kr2p/p1p5/5N2/PP3P2/2Kpr3/8/8 b - - 3 42",73
"1R6/1pk1r2p/p1p5/5N2/PP3P2/2Kpr3/8/8 w - - 4 43",-58
"7R/1pk1r2p/p1p5/5N2/PP3P2/2Kpr3/8/8 b - - 5 43",72
"7R/1pk1r2p/2p5/p4N2/PP3P2/2Kpr3/8/8 w - - 0 44",-182
"7R/1pk1r2p/2p5/P4N2/P4P2/2Kpr3/8/8 b - - 0 44",83
"4r2R/1pk4p/2p5/P4N2/P4P2/2Kpr3/8/8 w - - 1 45",91
"4r3/1pk4R/2p5/P4N2/P4P2/2Kpr3/8/8 b - - 0 45",2
"2k1r3/1p5R/2p5/P4N2/P4P2/2Kpr3/8/8 w - - 1 46",112
"2k1r3/1p5R/2p5/P4N2/P4P2/3pr3/3K4/8 b - - 2 46",503
"2k1r3/1p5R/2p5/P4N2/P4P2/3p1r2/3K4/8 w - - 3 47",96
"2k1r3/1p5R/2pN4/P7/P4P2/3p1r2/3K4/8 b - - 4 47",-84
"3kr3/1p5R/2pN4/P7/P4P2/3p1r2/3K4/8 w - - 5 48",97
"3kr3/1N5R/2p5/P7/P4P2/3p1r2/3K4/8 b - - 0 48",242
"2k1r3/1N5R/2p5/P7/P4P2/3p1r2/3K4/8 w - - 1 49",96
"2k1r3/7R/2pN4/P7/P4P2/3p1r2/3K4/8 b - - 2 49",-168
"3kr3/7R/2pN4/P7/P4P2/3p1r2/3K4/8 w - - 3 50",168
"3kN3/7R/2p5/P7/P4P2/3p1r2/3K4/8 b - - 0 50",-168
"4k3/7R/2p5/P7/P4P2/3p1r2/3K4/8 w - - 0 51",168
"4k3/2R5/2p5/P7/P4P2/3p1r2/3K4/8 b - - 1 51",-112
"4k3/2R5/2p5/P7/P4r2/3p4/3K4/8 w - - 0 52",80
"2R1k3/8/2p5/P7/P4r2/3p4/3K4/8 b - - 1 52",-35
"2R5/4k3/2p5/P7/P4r2/3p4/3K4/8 w - - 2 53",35
"2R5/4k3/2p5/P7/P4r2/3K4/8/8 b - - 0 53",218
"2R5/3k4/2p5/P7/P4r2/3K4/8/8 w - - 1 54",114
"R7/3k4/2p5/P7/P4r2/3K4/8/8 b - - 2 54",-104
"R7/8/2pk4/P7/P4r2/3K4/8/8 w - - 3 55",119
"R7/8/2pk4/P7/P4r2/4K3/8/8 b - - 4 55",-81
"R7/8/2pk4/P7/r7/4K3/8/8 w - - 0 56",110
"R7/8/P1pk4/8/r7/4K3/8/8 b - - 0 56",-110
"R7/8/P1p5/3k4/r7/4K3/8/8 w - - 1 57",110
"R7/P7/2p5/3k4/r7/4K3/8/8 b - - 0 57",-137
"R7/P7/2p5/8/r1k5/4K3/8/8 w - - 1 58",129
"R7/P7/2p5/8/r1k5/5K2/8/8 b - - 2 58",-110
"R7/P7/8/2p5/r1k5/5K2/8/8 w - - 0 59",118
"R7/P7/8/2p5/r1k1K3/8/8/8 b - - 1 59",-118
"R7/P7/8/r1p5/2k1K3/8/8/8 w - - 2 60",144
"R7/P7/8/r1p2K2/2k5/8/8/8 b - - 3 60",-101
"R7/P7/8/2p2K2/r1k5/8/8/8 w - - 4 61",111
"R7/P7/8/2p5/r1k2K2/8/8/8 b - - 5 61",-70
"R7/P7/8/2pk4/r4K2/8/8/8 w - - 6 62",140
"R7/P7/8/2pk2K1/r7/8/8/8 b - - 7 62",-99
"R7/P7/8/2p3K1/r1k5/8/8/8 w - - 8 63",99
"R7/P7/5K2/2p5/r1k5/8/8/8 b - - 9 63",-101
"R7/P7/5K2/r1p5/2k5/8/8/8 w - - 10 64",157
"R7/P5K1/8/r1p5/2k5/8/8/8 b - - 11 64",-69
"R7/P5K1/8/r1p5/3k4/8/8/8 w - - 12 65",331
"3R4/P5K1/8/r1p5/3k4/8/8/8 b - - 13 65",-307
"3R4/P5K1/8/r1p1k3/8/8/8/8 w - - 14 66",312
"Q2R4/6K1/8/r1p1k3/8/8/8/8 b - - 0 66",-301
"r2R4/6K1/8/2p1k3/8/8/8/8 w - - 0 67",311
"R7/6K1/8/2p1k3/8/8/8/8 b - - 0 67",-309
"R7/6K1/8/4k3/2p5/8/8/8 w - - 0 68",304
"8/6K1/8/4k3/2p5/R7/8/8 b - - 1 68",-278
"8/6K1/8/8/2pk4/R7/8/8 w - - 2 69",311
"8/6K1/8/8/R1pk4/8/8/8 b - - 3 69",-271
"8/6K1/8/3k4/R1p5/8/8/8 w - - 4 70",258
"8/6K1/8/3k4/2p5/8/R7/8 b - - 5 70",-284
"8/6K1/8/3k4/8/2p5/R7/8 w - - 0 71",294
"8/8/5K2/3k4/8/2p5/R7/8 b - - 1 71",-292
"8/8/3k1K2/8/8/2p5/R7/8 w - - 2 72",539
"8/8/3k1K2/8/8/2p5/2R5/8 b - - 3 72",-541
"8/8/5K2/2k5/8/2p5/2R5/8 w - - 4 73",541
"8/8/5K2/2k5/8/2R5/8/8 b - - 0 73",-541
"8/8/5K2/8/3k4/2R5/8/8 w - - 1 74",575
"8/2R5/5K2/8/3k4/8/8/8 b - - 2 74",-575
"8/2R5/5K2/8/8/4k3/8/8 w - - 3 75",594
"8/2R5/8/4K3/8/4k3/8/8 b - - 4 75",-594
"8/2R5/8/4K3/8/8/5k2/8 w - - 5 76",622
"rnbk1bnr/1pp2ppp/p7/4p3/2P1P3/8/PP3PPP/RNB1KBNR w KQ - 0 6",-8
"rnbk1bnr/1pp2ppp/p7/4p3/2P1P3/2N5/PP3PPP/R1B1KBNR b KQ - 1 6",28
"rnbk1b1r/1pp2ppp/p4n2/4p3/2P1P3/2N5/PP3PPP/R1B1KBNR w KQ - 2 7",-262
"rnbk1b1r/1pp2ppp/p4n2/4p3/2P1P3/2N2N2/PP3PPP/R1B1KB1R b KQ - 3 7",-7
"r1bk1b1r/1ppn1ppp/p4n2/4p3/2P1P3/2N2N2/PP3PPP/R1B1KB1R w KQ - 4 8",354
"r1bk1b1r/1ppn1ppp/p4n2/4p1N1/2P1P3/2N5/PP3PPP/R1B1KB1R b KQ - 5 8",-365
"r1b2b1r/1ppnkppp/p4n2/4p1N1/2P1P3/2N5/PP3PPP/R1B1KB1R w KQ - 6 9",610
"r1b2b1r/1ppnkppp/p4n2/4p1N1/2P1P3/2N1B3/PP3PPP/R3KB1R b KQ - 7 9",-251
"r1b1kb1r/1ppn1ppp/p4n2/4p1N1/2P1P3/2N1B3/PP3PPP/R3KB1R w KQ - 8 10",592
"r1b1kb1r/1ppn1ppp/p4n2/4p1N1/2P1P3/2NBB3/PP3PPP/R3K2R b KQ - 9 10",171
"r1b1kb1r/1ppn1pp1/p4n1p/4p1N1/2P1P3/2NBB3/PP3PPP/R3K2R w KQ - 0 11",47
"r1b1kb1r/1ppn1pp1/p4n1p/4p3/2P1P3/2NBBN2/PP3PPP/R3K2R b KQ - 1 11",292
"r1b1kb1r/1ppn1pp1/p6p/4p3/2P1P1n1/2NBBN2/PP3PPP/R3K2R w KQ - 2 12",136
"r1b1kb1r/1ppn1pp1/p6p/3Np3/2P1P1n1/3BBN2/PP3PPP/R3K2R b KQ - 3 12",713
"r1b1kb1r/1p1n1pp1/p1p4p/3Np3/2P1P1n1/3BBN2/PP3PPP/R3K2R w KQ - 0 13",324
"r1b1kb1r/1pNn1pp1/p1p4p/4p3/2P1P1n1/3BBN2/PP3PPP/R3K2R b KQ - 1 13",-303
"r1b2b1r/1pNnkpp1/p1p4p/4p3/2P1P1n1/3BBN2/PP3PPP/R3K2R w KQ - 2 14",472
"r1b2b1r/1pNnkpp1/p1p4p/4p3/2P1P1n1/3BBN2/PP2KPPP/R6R b - - 3 14",-194
"r1b2b1r/1pNnkp2/p1p4p/4p1p1/2P1P1n1/3BBN2/PP2KPPP/R6R w - - 0 15",474
"N1b2b1r/1p1nkp2/p1p4p/4p1p1/2P1P1n1/3BBN2/PP2KPPP/R6R b - - 0 15",-459
"N1b2b1r/1p1nkp2/p1p4p/4p1p1/2P1P3/3BnN2/PP2KPPP/R6R w - - 0 16",463
"N1b2b1r/1p1nkp2/p1p4p/4p1p1/2P1P3/3BKN2/PP3PPP/R6R b - - 0 16",-286
"N1bk1b1r/1p1n1p2/p1p4p/4p1p1/2P1P3/3BKN2/PP3PPP/R6R w - - 1 17",477
"N1bk1b1r/1p1n1p2/p1p4p/4p1p1/2P1P1P1/3BKN2/PP3P1P/R6R b - - 0 17",-388
"N1bk3r/1p1n1p2/p1pb3p/4p1p1/2P1P1P1/3BKN2/PP3P1P/R6R w - - 1 18",499
"N1bk3r/1p1n1p2/p1pb3p/4p1p1/2P1P1P1/3BKN2/PP3P1P/3R3R b - - 2 18",-392
"N1bk3r/1p3p2/p1pb1n1p/4p1p1/2P1P1P1/3BKN2/PP3P1P/3R3R w - - 3 19",446
"N1bk3r/1p3p2/p1pb1n1p/4p1p1/2P1P1P1/3BKN1P/PP3P2/3R3R b - - 0 19",-459
"N1bk3r/1p3p2/p1p2n1p/2b1p1p1/2P1P1P1/3BKN1P/PP3P2/3R3R w - - 1 20",517
"N1bk3r/1p3p2/p1p2n1p/2b1p1p1/2P1P1P1/3B1N1P/PP2KP2/3R3R b - - 2 20",-418
"N2k3r/1p3p2/p1p1bn1p/2b1p1p1/2P1P1P1/3B1N1P/PP2KP2/3R3R w - - 3 21",476
"N2k3r/1p3p2/p1p1bn1p/2b1p1p1/2P1P1P1/3B1N1P/PP1K1P2/3R3R b - - 4 21",-294
"N6r/1p1k1p2/p1p1bn1p/2b1p1p1/2P1P1P1/3B1N1P/PP1K1P2/3R3R w - - 5 22",307
"N6r/1p1k1p2/p1p1bn1p/2b1p1p1/2P1P1PP/3B1N2/PP1K1P2/3R3R b - - 0 22",-227
"N6r/1p1k1p2/p1p1b2p/2b1p1p1/2P1P1nP/3B1N2/PP1K1P2/3R3R w - - 0 23",232
"N6r/1p1k1p2/p1p1b2p/2b1p1P1/2P1P1n1/3B1N2/PP1K1P2/3R3R b - - 0 23",-192
"r7/1p1k1p2/p1p1b2p/2b1p1P1/2P1P1n1/3B1N2/PP1K1P2/3R3R w - - 0 24",178
"r7/1p1k1p2/p1p1b2p/2b1p1P1/2P1P1nR/3B1N2/PP1K1P2/3R4 b - - 1 24",-31
"r7/1p1k1p2/p1p1b2p/2b1p1P1/2P1P2R/3B1N2/PP1K1n2/3R4 w - - 0 25",53
"r7/1p1k1p2/p1p1b2p/2b1p1P1/2P1P2R/3B1N2/PP1K1n2/5R2 b - - 1 25",-54
"r7/1p1k1p2/p1p1b2p/4p1P1/1bP1P2R/3B1N2/PP1K1n2/5R2 w - - 2 26",130
"r7/1p1k1p2/p1p1b2p/4p1P1/1bP1P2R/3BKN2/PP3n2/5R2 b - - 3 26",-38
"r7/1p1k1p2/p1p1b2p/2b1p1P1/2P1P2R/3BKN2/PP3n2/5R2 w - - 4 27",53
"r7/1p1k1p2/p1p1b2p/2b1p1P1/2P1P2R/3B1N2/PP2Kn2/5R2 b - - 5 27",-68
"r7/1p1k1p2/p1p1b3/2b1p1p1/2P1P2R/3B1N2/PP2Kn2/5R2 w - - 0 28",171
"r7/1p1k1p2/p1p1b3/2b1p1N1/2P1P2R/3B4/PP2Kn2/5R2 b - - 0 28",-47
"r7/1p1k1p2/p1p5/2b1p1N1/2P1P1bR/3B4/PP2Kn2/5R2 w - - 1 29",91
"r7/1p1k1p2/p1p5/2b1p1N1/2P1P1bR/3B4/PP1K1n2/5R2 b - - 2 29",-60
"r7/1p1k1p2/p1p1b3/2b1p1N1/2P1P2R/3B4/PP1K1n2/5R2 w - - 3 30",68
"r7/1p1k1p2/p1p1N3/2b1p3/2P1P2R/3B4/PP1K1n2/5R2 b - - 0 30",-68
"r7/1p3p2/p1p1k3/2b1p3/2P1P2R/3B4/PP1K1n2/5R2 w - - 0 31",191
"r7/1p3p2/p1p1k3/2b1p3/2P1P2R/3B4/PP1K1R2/8 b - - 0 31",-193
"r7/1p3p2/p1p1k3/4p3/2P1P2R/3B4/PP1K1b2/8 w - - 0 32",196
"r7/1p3p2/p1p1k3/4p3/2P1P3/3B4/PP1K1b1R/8 b - - 1 32",193
"r7/1p3p2/p1p1k3/4p3/2PbP3/3B4/PP1K3R/8 w - - 2 33",-95
"r7/1p3p2/p1p1k3/4p3/1PPbP3/3B4/P2K3R/8 b - - 0 33",152
"r7/1p3p2/p3k3/2p1p3/1PPbP3/3B4/P2K3R/8 w - - 0 34",-152
"r7/1p3p2/p3k3/2p1p3/1PPbP3/P2B4/3K3R/8 b - - 0 34",209
"r7/1p3p2/p3k3/2p1p3/1PP1P3/P2B4/1b1K3R/8 w - - 1 35",35
"r7/1p3p2/p3k3/2p1p3/PPP1P3/3B4/1b1K3R/8 b - - 0 35",223
"r7/1p3p2/p3k3/4p3/PpP1P3/3B4/1b1K3R/8 w - - 0 36",-193
"r7/1p3p2/p3k3/4p3/PpP1P3/3BK3/1b5R/8 b - - 1 36",260
"r7/1p3p2/p3k3/4p3/PpPbP3/3BK3/7R/8 w - - 2 37",-252
"r7/1p3p2/p3k3/4p3/PpPbP3/3B1K2/7R/8 b - - 3 37",428
"r7/1p3p2/p3k3/4p3/P1PbP3/1p1B1K2/7R/8 w - - 0 38",-428
"r7/1p3p2/p3k2R/4p3/P1PbP3/1p1B1K2/8/8 b - - 1 38",452
"r7/1p2kp2/p6R/4p3/P1PbP3/1p1B1K2/8/8 w - - 2 39",-465
"r7/1p2kp2/p6R/P3p3/2PbP3/1p1B1K2/8/8 b - - 0 39",467
"6r1/1p2kp2/p6R/P3p3/2PbP3/1p1B1K2/8/8 w - - 1 40",-334
"6r1/1p2kp2/p6R/P1P1p3/3bP3/1p1B1K2/8/8 b - - 0 40",397
"6r1/1p2kp2/p6R/P1b1p3/4P3/1p1B1K2/8/8 w - - 0 41",-221
"6r1/1p2kp1R/p7/P1b1p3/4P3/1p1B1K2/8/8 b - - 1 41",542
"6r1/1p2kp1R/p7/P1b1p3/4P3/3B1K2/1p6/8 w - - 0 42",-280
"6r1/1p2kp2/p7/P1b1p3/4P3/3B1K2/1p5R/8 b - - 1 42",555
"6r1/1p2kp2/p7/P3p3/3bP3/3B1K2/1p5R/8 w - - 2 43",-542
"6r1/1p2kp1R/p7/P3p3/3bP3/3B1K2/1p6/8 b - - 3 43",665
"6r1/1p2kp1R/p7/P3p3/4P3/2bB1K2/1p6/8 w - - 4 44",-544
"6r1/1p2kp1R/p7/P3p3/4P3/2b2K2/1p6/1B6 b - - 5 44",594
"6r1/1p2kp1R/p7/b3p3/4P3/5K2/1p6/1B6 w - - 0 45",-507
"6r1/1p2kp2/p7/b3p3/4P3/5K2/1p5R/1B6 b - - 1 45",838
"6r1/1p2kp2/p7/4p3/4P3/2b2K2/1p5R/1B6 w - - 2 46",-770
"6r1/1p2kp2/p7/4p3/4P3/2b2K2/Bp5R/8 b - - 3 46",889
"6r1/4kp2/p7/1p2p3/4P3/2b2K2/Bp5R/8 w - - 0 47",-536
"6r1/4kp2/p7/1p2p3/4P3/2b2K2/BpR5/8 b - - 1 47",910
"6r1/4kp2/p7/4p3/1p2P3/2b2K2/BpR5/8 w - - 0 48",-881
"6r1/4kp2/p7/4p3/1p2P3/2b2K2/Bp5R/8 b - - 1 48",1085
"2r5/4kp2/p7/4p3/1p2P3/2b2K2/Bp5R/8 w - - 2 49",-838
"2r5/4kp2/p6R/4p3/1p2P3/2b2K2/Bp6/8 b - - 3 49",1078
"2r5/4kp2/p6R/4p3/4P3/1pb2K2/Bp6/8 w - - 0 50",-684
"2r5/4kp2/p6R/4p3/4P3/1pb2K2/1p6/1B6 b - - 1 50",760
"2r5/4kp2/7R/p3p3/4P3/1pb2K2/1p6/1B6 w - - 0 51",-736
"2r5/4kp2/1R6/p3p3/4P3/1pb2K2/1p6/1B6 b - - 1 51",975
"2r5/4kp2/1R6/p3p3/1b2P3/1p3K2/1p6/1B6 w - - 2 52",-973
"2r5/1R2kp2/8/p3p3/1b2P3/1p3K2/1p6/1B6 b - - 3 52",1017
"2rk4/1R3p2/8/p3p3/1b2P3/1p3K2/1p6/1B6 w - - 4 53",-960
"2rk4/1R3p2/8/p3p3/1b2P3/1p1B1K2/1p6/8 b - - 5 53",1501
"3k4/1R3p2/8/p3p3/1b2P3/1prB1K2/1p6/8 w - - 6 54",-1508
"1R1k4/5p2/8/p3p3/1b2P3/1prB1K2/1p6/8 b - - 7 54",1527
"1R6/4kp2/8/p3p3/1b2P3/1prB1K2/1p6/8 w - - 8 55",-1347
"8/1R2kp2/8/p3p3/1b2P3/1prB1K2/1p6/8 b - - 9 55",1341
"8/1R3p2/4k3/p3p3/1b2P3/1prB1K2/1p6/8 w - - 10 56",-1341
"8/5p2/1R2k3/p3p3/1b2P3/1prB1K2/1p6/8 b - - 11 56",1613
"8/5p2/1R1bk3/p3p3/4P3/1prB1K2/1p6/8 w - - 12 57",-1353
"8/5p2/1R1bk3/p3p3/4P3/1prB4/1p2K3/8 b - - 13 57",1606
"8/5p2/1R1bk3/p3p3/4P3/1p1r4/1p2K3/8 w - - 0 58",-1483
"8/5p2/1R1bk3/p3p3/4P3/1p1K4/1p6/8 b - - 0 58",1606
"8/5p2/1R1bk3/p3p3/4P3/1p1K4/8/1q6 w - - 0 59",-1580
"8/5p2/1R1bk3/p3p3/4P3/1p2K3/8/1q6 b - - 1 59",1912
"8/5p2/1R1bk3/p3p3/4P3/1p2K3/8/6q1 w - - 2 60",-1911
"8/5p2/1R1bk3/p3p3/4P3/1p6/3K4/6q1 b - - 3 60",1965
"8/5p2/1q1bk3/p3p3/4P3/1p6/3K4/8 w - - 0 61",-2731
"8/5p2/1q1bk3/p3p3/4P3/1p6/8/2K5 b - - 1 61",2736
"rnb1kb1r/pp1p1p1p/2p1pPp1/q7/6Q1/2N5/PPPP1PPP/R1B1KBNR w KQkq - 0 6",448
"rnb1kb1r/pp1p1p1p/2p1pPp1/q7/5Q2/2N5/PPPP1PPP/R1B1KBNR b KQkq - 1 6",254
"rnb1kb1r/pp1p1p1p/2p2Pp1/q3p3/5Q2/2N5/PPPP1PPP/R1B1KBNR w KQkq - 0 7",382
"rnb1kb1r/pp1p1p1p/2p2Pp1/q3p3/6Q1/2N5/PPPP1PPP/R1B1KBNR b KQkq - 1 7",-14
"rnb1kb1r/pp1p1p1p/1qp2Pp1/4p3/6Q1/2N5/PPPP1PPP/R1B1KBNR w KQkq - 2 8",906
"rnb1kb1r/pp1p1p1p/1qp2Pp1/4p3/N5Q1/8/PPPP1PPP/R1B1KBNR b KQkq - 3 8",-10
"rnb1kb1r/pp1p1p1p/2p2Pp1/q3p3/N5Q1/8/PPPP1PPP/R1B1KBNR w KQkq - 4 9",259
"rnb1kb1r/pp1p1p1p/2p2Pp1/q3p3/N1B3Q1/8/PPPP1PPP/R1B1K1NR b KQkq - 5 9",-56
"rnb1kb1r/pp1p1p2/2p2Pp1/q3p2p/N1B3Q1/8/PPPP1PPP/R1B1K1NR w KQkq - 0 10",419
"rnb1kb1r/pp1p1p2/2p2Pp1/q3p2p/N1B1Q3/8/PPPP1PPP/R1B1K1NR b KQkq - 1 10",-374
"rnb1k2r/pp1p1p2/2p2Ppb/q3p2p/N1B1Q3/8/PPPP1PPP/R1B1K1NR w KQkq - 2 11",444
"rnb1k2r/pp1p1p2/2p2Ppb/q3p2p/N1B1Q3/5N2/PPPP1PPP/R1B1K2R b KQkq - 3 11",-421
"rnb1k2r/pp3p2/2pp1Ppb/q3p2p/N1B1Q3/5N2/PPPP1PPP/R1B1K2R w KQkq - 0 12",686
"rnb1k2r/pp3p2/2pp1Ppb/q3p2p/N1B1Q3/5N2/PPPP1PPP/R1B2RK1 b kq - 1 12",-534
"rnb1k2r/pp3p2/2pp1Pp1/q3p2p/N1B1Qb2/5N2/PPPP1PPP/R1B2RK1 w kq - 2 13",580
"rnb1k2r/pp3p2/2pp1Pp1/q3p2p/2B1Qb2/2N2N2/PPPP1PPP/R1B2RK1 b kq - 3 13",-230
"rnb1k2r/pp3p2/2pp1Pp1/2q1p2p/2B1Qb2/2N2N2/PPPP1PPP/R1B2RK1 w kq - 4 14",570
"rnb1k2r/pp3p2/2pp1Pp1/2q1p2p/2B1Qb2/2N2N2/PPPP1PPP/R1B1R1K1 b kq - 5 14",-222
"rnb2k1r/pp3p2/2pp1Pp1/2q1p2p/2B1Qb2/2N2N2/PPPP1PPP/R1B1R1K1 w - - 6 15",629
"rnb2k1r/pp3p2/2pp1Pp1/2q1p2p/N1B1Qb2/5N2/PPPP1PPP/R1B1R1K1 b - - 7 15",-432
"rnb2k1r/pp3p2/2pp1Pp1/4p2p/N1q1Qb2/5N2/PPPP1PPP/R1B1R1K1 w - - 0 16",1069
"rnb2k1r/pp3p2/2pp1Pp1/4p2p/N1Q2b2/5N2/PPPP1PPP/R1B1R1K1 b - - 0 16",-420
"rn3k1r/pp3p2/2ppbPp1/4p2p/N1Q2b2/5N2/PPPP1PPP/R1B1R1K1 w - - 1 17",1017
"rn3k1r/pp3p2/2ppbPp1/4p2p/N4Q2/5N2/PPPP1PPP/R1B1R1K1 b - - 0 17",-980
"rn3k1r/pp3p2/2ppbPp1/7p/N4p2/5N2/PPPP1PPP/R1B1R1K1 w - - 0 18",955
"rn3k1r/pp3p2/2ppbPp1/7p/N4p2/3P1N2/PPP2PPP/R1B1R1K1 b - - 0 18",-631
