fen,score_cp
"r1b2b1r/ppp1k3/4ppQ1/4q3/7P/1PN5/1P1PKPP1/2B2B1R w - - 1 18",-138
"r1b2b1r/ppp1k3/4pp2/4q3/4Q2P/1PN5/1P1PKPP1/2B2B1R b - - 2 18",128
"r1b2b1r/ppp1k3/4pp2/8/4q2P/1PN5/1P1PKPP1/2B2B1R w - - 0 19",-115
"r1b2b1r/ppp1k3/4pp2/8/4N2P/1P6/1P1PKPP1/2B2B1R b - - 0 19",108
"r1b2b1r/ppp1k3/5p2/4p3/4N2P/1P6/1P1PKPP1/2B2B1R w - - 0 20",-101
"r1b2b1r/ppp1k3/5p2/4p3/4N2P/1P3K2/1P1P1PP1/2B2B1R b - - 1 20",96
"r1b2b1r/1pp1k3/5p2/p3p3/4N2P/1P3K2/1P1P1PP1/2B2B1R w - - 0 21",-85
"r1b2b1r/1pp1k3/5p2/p3p3/2B1N2P/1P3K2/1P1P1PP1/2B4R b - - 1 21",90
"r1b4r/1pp1k3/5p1b/p3p3/2B1N2P/1P3K2/1P1P1PP1/2B4R w - - 2 22",-132
"r1b4r/1pp1k3/5p1b/p3p2P/2B1N3/1P3K2/1P1P1PP1/2B4R b - - 0 22",97
"r1br4/1pp1k3/5p1b/p3p2P/2B1N3/1P3K2/1P1P1PP1/2B4R w - - 1 23",42
"r1br4/1pp1k3/5p1b/p3p2P/2BPN3/1P3K2/1P3PP1/2B4R b - - 0 23",138
"r1br4/1pp1k3/5p1b/p6P/2BpN3/1P3K2/1P3PP1/2B4R w - - 0 24",-70
"r1br4/1pp1k3/5p1b/p6P/2BpN1P1/1P3K2/1P3P2/2B4R b - - 0 24",200
"r1br4/1pp1k3/5p2/p6P/2BpN1P1/1P3K2/1P3P2/2b4R w - - 0 25",-184
"r1br4/1pp1k3/5p2/p6P/2BpN1P1/1P3K2/1P3P2/2R5 b - - 0 25",193
"r1br4/1pp1k3/8/p4p1P/2BpN1P1/1P3K2/1P3P2/2R5 w - - 0 26",-176
"r1br4/1pp1k3/8/p4pPP/2BpN3/1P3K2/1P3P2/2R5 b - - 0 26",153
"r1br4/1pp1k3/8/p5PP/2Bpp3/1P3K2/1P3P2/2R5 w - - 0 27",-207
"r1br4/1pp1k3/8/p5PP/2BpK3/1P6/1P3P2/2R5 b - - 0 27",224
"r1br4/1p2k3/2p5/p5PP/2BpK3/1P6/1P3P2/2R5 w - - 0 28",-198
"r1br4/1p2k3/2p5/p5PP/2BpKP2/1P6/1P6/2R5 b - - 0 28",170
"r1br4/4k3/2p5/pp4PP/2BpKP2/1P6/1P6/2R5 w - - 0 29",-143
"r1br4/4k3/2p5/pp4PP/3pKP2/1P1B4/1P6/2R5 b - - 1 29",123
"r1b5/4k3/2pr4/pp4PP/3pKP2/1P1B4/1P6/2R5 w - - 2 30",-91
"r1b5/4k3/2pr4/pp3PPP/3pK3/1P1B4/1P6/2R5 b - - 0 30",55
"r7/4k3/2pr4/pp3bPP/3pK3/1P1B4/1P6/2R5 w - - 0 31",-55
"r7/4k3/2pr4/pp3KPP/3p4/1P1B4/1P6/2R5 b - - 0 31",10
"7r/4k3/2pr4/pp3KPP/3p4/1P1B4/1P6/2R5 w - - 1 32",27
"7r/4k3/2pr4/pp3KPP/3p4/1P1B4/1P6/R7 b - - 2 32",-13
"3r3r/4k3/2p5/pp3KPP/3p4/1P1B4/1P6/R7 w - - 3 33",49
"3r3r/4k3/2p5/Rp3KPP/3p4/1P1B4/1P6/8 b - - 0 33",-24
"5r1r/4k3/2p5/Rp3KPP/3p4/1P1B4/1P6/8 w - - 1 34",-26
"5r1r/4k3/2p5/Rp4PP/3pK3/1P1B4/1P6/8 b - - 2 34",8
"6rr/4k3/2p5/Rp4PP/3pK3/1P1B4/1P6/8 w - - 3 35",0
"6rr/4k3/2p3P1/Rp5P/3pK3/1P1B4/1P6/8 b - - 0 35",-30
"6r1/4k3/2p3P1/Rp5r/3pK3/1P1B4/1P6/8 w - - 0 36",-22
"6r1/R3k3/2p3P1/1p5r/3pK3/1P1B4/1P6/8 b - - 1 36",50
"6r1/R7/2p1k1P1/1p5r/3pK3/1P1B4/1P6/8 w - - 2 37",-148
"6r1/2R5/2p1k1P1/1p5r/3pK3/1P1B4/1P6/8 b - - 3 37",186
"6r1/2R5/2p1k1P1/1p6/3pK2r/1P1B4/1P6/8 w - - 4 38",-317
"6r1/2R5/2p1k1P1/1p6/3p3r/1P1B1K2/1P6/8 b - - 5 38",179
"6r1/2R5/2p1k1P1/1p6/3p4/1P1B1K1r/1P6/8 w - - 6 39",-148
"6r1/2R5/2p1k1P1/1p6/3pK3/1P1B3r/1P6/8 b - - 7 39",211
"4r3/2R5/2p1k1P1/1p6/3pK3/1P1B3r/1P6/8 w - - 8 40",-216
"4r3/2R5/2p1k1P1/1p6/3K4/1P1B3r/1P6/8 b - - 0 40",215
"3r4/2R5/2p1k1P1/1p6/3K4/1P1B3r/1P6/8 w - - 1 41",-211
